Features,Train Accuracy,Test Accuracy,Perplexity,Crossvalidation
1,0.57,0.57,2.00927,0.56563
2,0.56,0.54,2.01221,0.55625
3,0.69,0.66,1.86534,0.6875
4,0.83,0.80,1.52211,0.83125
5,0.84,0.79,1.5297,0.83125
6,0.84,0.81,1.51768,0.8375
7,0.84,0.80,1.52052,0.83125
8,0.84,0.80,1.52156,0.83125
9,0.84,0.81,1.52193,0.83438
10,0.84,0.82,1.52143,0.83438
11,0.86,0.83,1.50007,0.8375
12,0.86,0.81,1.4847,0.8375
13,0.85,0.81,1.45291,0.83125
14,0.85,0.81,1.45351,0.83125
15,0.85,0.81,1.45329,0.83125
16,0.85,0.81,1.45324,0.83125
17,0.85,0.80,1.46969,0.825
18,0.86,0.82,1.46575,0.84375
19,0.86,0.82,1.46498,0.84375
20,0.85,0.82,1.46533,0.84062
21,0.86,0.82,1.4656,0.84062
22,0.86,0.81,1.46409,0.83438
23,0.87,0.83,1.45025,0.83438
24,0.86,0.81,1.4305,0.8375
25,0.87,0.83,1.43327,0.83125
26,0.87,0.83,1.43897,0.83125
27,0.87,0.81,1.44434,0.83125
28,0.87,0.82,1.44115,0.82812
29,0.87,0.83,1.45311,0.82812
30,0.87,0.81,1.4568,0.82812
31,0.87,0.82,1.45648,0.825
32,0.87,0.83,1.45437,0.82812
33,0.85,0.83,1.46386,0.83125
34,0.86,0.82,1.45546,0.82188
35,0.86,0.83,1.42876,0.82812
36,0.87,0.86,1.42619,0.83438
37,0.87,0.84,1.42007,0.8375
38,0.87,0.85,1.45535,0.83438
39,0.87,0.84,1.44139,0.82812
40,0.86,0.84,1.46397,0.82812
41,0.87,0.86,1.45048,0.83125
42,0.88,0.85,1.3808,0.84688
43,0.88,0.83,1.40886,0.84688
44,0.88,0.85,1.38764,0.84062
45,0.89,0.83,1.39385,0.84375
46,0.88,0.83,1.41532,0.84375
47,0.88,0.84,1.3881,0.8375
48,0.88,0.84,1.38448,0.84375
49,0.88,0.85,1.39551,0.8375
50,0.88,0.83,1.39065,0.83438
51,0.87,0.86,1.37899,0.83125
52,0.86,0.84,1.38017,0.83125
53,0.87,0.86,1.38131,0.83438
54,0.87,0.83,1.37713,0.8375
55,0.88,0.86,1.37794,0.83438
56,0.87,0.84,1.3778,0.83438
57,0.87,0.86,1.37289,0.83125
58,0.87,0.86,1.37242,0.83438
59,0.86,0.84,1.37516,0.825
60,0.86,0.86,1.37214,0.83125
61,0.87,0.84,1.37568,0.83125
62,0.86,0.85,1.37335,0.82812
63,0.86,0.86,1.36789,0.825
64,0.88,0.86,1.37758,0.83438
65,0.87,0.85,1.37555,0.82188
66,0.86,0.86,1.37518,0.8375
67,0.86,0.86,1.37319,0.82188
68,0.85,0.86,1.37398,0.82188
69,0.87,0.86,1.36983,0.82812
70,0.87,0.86,1.35692,0.83125
71,0.86,0.86,1.36021,0.84375
72,0.86,0.84,1.36766,0.84375
73,0.86,0.86,1.37216,0.83125
74,0.87,0.88,1.36839,0.8375
75,0.87,0.86,1.36775,0.83438
76,0.87,0.85,1.3612,0.825
77,0.86,0.87,1.36734,0.83438
78,0.87,0.86,1.37291,0.83125
79,0.86,0.86,1.37165,0.8375
80,0.86,0.86,1.37047,0.82812
81,0.86,0.86,1.37118,0.825
82,0.86,0.87,1.36257,0.82188
83,0.86,0.86,1.3686,0.83125
84,0.87,0.86,1.36873,0.82812
85,0.88,0.86,1.36881,0.83125
86,0.86,0.84,1.37117,0.83438
87,0.86,0.85,1.37622,0.82812
88,0.86,0.86,1.38292,0.82812
89,0.87,0.85,1.37825,0.8375
90,0.86,0.86,1.38074,0.83438
91,0.86,0.86,1.37147,0.8375
92,0.85,0.85,1.37722,0.8375
93,0.86,0.86,1.37826,0.84062
94,0.86,0.85,1.38238,0.84062
95,0.86,0.84,1.38545,0.84062
96,0.86,0.86,1.38142,0.84062
97,0.86,0.86,1.37297,0.84062
98,0.86,0.86,1.37619,0.83125
99,0.85,0.86,1.38323,0.8375
100,0.86,0.84,1.38572,0.83438
